DEBUG: General     , 1659407308686> LoggerManager.init                  > Initializing...
LOG  : General     , 1659407309088> cachedir set to "C:\Users\aaron\Zomboid"
LOG  : General     , 1659407309112> 01-08-2022 22:28:29
LOG  : General     , 1659407309112> cachedir is "C:\Users\aaron\Zomboid"
LOG  : General     , 1659407309113> LogFileDir is "C:\Users\aaron\Zomboid\Logs"
LOG  : General     , 1659407309113> ===== System specs =====
LOG  : General     , 1659407309115> OS: Windows 10, version: 10.0, arch: amd64
LOG  : General     , 1659407309116> Processor: AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD
LOG  : General     , 1659407309116> Processor cores: 16
LOG  : General     , 1659407309118> Available processors (cores): 16
LOG  : General     , 1659407309119> Memory free: 224.78963 MB
LOG  : General     , 1659407309120> Memory max: 3072.0 MB
LOG  : General     , 1659407309121> Memory  total available to JVM: 248.0 MB
LOG  : General     , 1659407309319> C:\, Total: 457.89874 GB, Free: 212.91502 GB
LOG  : General     , 1659407309333> Z:\, Total: 230.89664 GB, Free: 161.87482 GB
LOG  : General     , 1659407309645> Mobo = [Product=GA401IU]
LOG  : General     , 1659407309851> CPU = [Manufacturer=AuthenticAMD,MaxClockSpeed=2900,Name=AMD Ryzen 7 4800HS with Radeon Graphics]
LOG  : General     , 1659407310050> Graphics = { [AdapterRAM=536870912,DriverVersion=27.20.11020.14001,Name=AMD Radeon(TM) Graphics], [AdapterRAM=4293918720,DriverVersion=31.0.15.1659,Name=NVIDIA GeForce GTX 1660 Ti with Max-Q Design] }
LOG  : General     , 1659407310253> VideoMode = [VideoModeDescription=1920 x 1080 x 4294967296 colors]
LOG  : General     , 1659407310449> Sound = { [Manufacturer=NVIDIA,Name=NVIDIA High Definition Audio], [Manufacturer=Valve Corporation Audio DDK,Name=Steam Streaming Microphone], [Manufacturer=Advanced Micro Devices,Name=AMD High Definition Audio Device], [Manufacturer=Realtek,Name=Realtek High Definition Audio], [Manufacturer=Valve Corporation Audio DDK,Name=Steam Streaming Speakers], [Manufacturer=NVIDIA,Name=NVIDIA Virtual Audio Device (Wave Extensible) (WDM)], [Manufacturer=VB-Audio Software,Name=VB-Audio Virtual Cable], [Manufacturer=VB-Audio Software,Name=VB-Audio VoiceMeeter VAIO] }
LOG  : General     , 1659407310644> Memory RAM = { [Capacity=8589934592,Manufacturer=Samsung], [Capacity=8589934592,Manufacturer=Samsung] }
LOG  : General     , 1659407310645> ========================
LOG  : General     , 1659407310645> -- listing properties --
LOG  : General     , 1659407310645> java.specification.version=17
LOG  : General     , 1659407310646> sun.cpu.isalist=amd64
LOG  : General     , 1659407310646> sun.jnu.encoding=Cp1252
LOG  : General     , 1659407310646> java.class.path=.;commons-compress-1.18.jar;istack-co...
LOG  : General     , 1659407310646> java.vm.vendor=Azul Systems, Inc.
LOG  : General     , 1659407310647> sun.arch.data.model=64
LOG  : General     , 1659407310647> user.variant=
LOG  : General     , 1659407310647> java.vendor.url=http://www.azul.com/
LOG  : General     , 1659407310647> user.timezone=America/Toronto
LOG  : General     , 1659407310648> zomboid.steam=1
LOG  : General     , 1659407310648> java.vm.specification.version=17
LOG  : General     , 1659407310648> os.name=Windows 10
LOG  : General     , 1659407310648> user.country=CA
LOG  : General     , 1659407310648> sun.boot.library.path=C:\Program Files (x86)\Steam\steamapp...
LOG  : General     , 1659407310649> zomboid.znetlog=1
LOG  : General     , 1659407310649> jdk.debug=release
LOG  : General     , 1659407310649> sun.cpu.endian=little
LOG  : General     , 1659407310650> user.home=C:\Users\aaron
LOG  : General     , 1659407310650> user.language=en
LOG  : General     , 1659407310650> java.specification.vendor=Oracle Corporation
LOG  : General     , 1659407310650> java.version.date=2021-10-19
LOG  : General     , 1659407310651> java.home=C:\Program Files (x86)\Steam\steamapp...
LOG  : General     , 1659407310651> file.separator=\
LOG  : General     , 1659407310652> java.vm.compressedOopsMode=Zero based
LOG  : General     , 1659407310652> line.separator=

LOG  : General     , 1659407310653> java.vm.specification.vendor=Oracle Corporation
LOG  : General     , 1659407310653> java.specification.name=Java Platform API Specification
LOG  : General     , 1659407310653> java.awt.headless=true
LOG  : General     , 1659407310654> user.script=
LOG  : General     , 1659407310654> sun.management.compiler=HotSpot 64-Bit Tiered Compilers
LOG  : General     , 1659407310654> java.runtime.version=17.0.1+12-LTS
LOG  : General     , 1659407310654> user.name=aaron
LOG  : General     , 1659407310654> path.separator=;
LOG  : General     , 1659407310655> os.version=10.0
LOG  : General     , 1659407310655> java.runtime.name=OpenJDK Runtime Environment
LOG  : General     , 1659407310655> file.encoding=Cp1252
LOG  : General     , 1659407310655> java.vm.name=OpenJDK 64-Bit Server VM
LOG  : General     , 1659407310655> java.vendor.version=Zulu17.30+15-CA
LOG  : General     , 1659407310656> java.vendor.url.bug=http://www.azul.com/support/
LOG  : General     , 1659407310656> java.io.tmpdir=C:\Users\aaron\AppData\Local\Temp\
LOG  : General     , 1659407310656> java.version=17.0.1
LOG  : General     , 1659407310656> user.dir=C:\Program Files (x86)\Steam\steamapp...
LOG  : General     , 1659407310656> os.arch=amd64
LOG  : General     , 1659407310656> java.vm.specification.name=Java Virtual Machine Specification
LOG  : General     , 1659407310657> sun.os.patch.level=
LOG  : General     , 1659407310657> native.encoding=Cp1252
LOG  : General     , 1659407310657> java.library.path=win64/;.
LOG  : General     , 1659407310657> java.vm.info=mixed mode, sharing
LOG  : General     , 1659407310657> java.vendor=Azul Systems, Inc.
LOG  : General     , 1659407310657> java.vm.version=17.0.1+12-LTS
LOG  : General     , 1659407310657> sun.io.unicode.encoding=UnicodeLittle
LOG  : General     , 1659407310658> java.class.version=61.0
LOG  : General     , 1659407310658> -----
LOG  : General     , 1659407310658> versionNumber=41.73 demo=false
LOG  : General     , 1659407310658> svnRevision= date= time=
LOG  : General     , 1659407311651> LightingFPS set to 15
LOG  : General     , 1659407311671> [javafmodJNI] Init: Start
LOG  : General     , 1659407311672> [javafmodJNI] Init: WIN 64
LOG  : General     , 1659407311775> 1659407311772 fmod: Java loging: OK
LOG  : General     , 1659407311790> 1659407311789 fmod: FMOD::Studio::System::create() result: No errors.
LOG  : General     , 1659407311790> 1659407311790 fmod: FMOD::Studio::System::getCoreSystem() result: No errors.
LOG  : General     , 1659407311790> 1659407311790 fmod: FMOD_System_GetVersion() result: No errors.
LOG  : General     , 1659407311791> 1659407311791 fmod: fmodintegration built with version 20206, fmod shared library version 20206
LOG  : General     , 1659407311791> 1659407311791 fmod: System Create: OK
LOG  : General     , 1659407311791> 1659407311791 fmod: FMOD_System_SetSoftwareFormat() result: No errors.
LOG  : General     , 1659407311874> 1659407311874 fmod: FMOD::Studio::System::Initialize() result: No errors.
LOG  : General     , 1659407311875> 1659407311875 fmod: Creating DSP for capture sound
LOG  : General     , 1659407311875> 1659407311875 fmod: FMOD_System_CreateDSP() result: No errors.
LOG  : General     , 1659407311875> 1659407311875 fmod: FMOD_DSP_SetBypass() result: No errors.
LOG  : General     , 1659407311875> 1659407311875 fmod: FMOD_System_GetMasterChannelGroup() result: No errors.
LOG  : General     , 1659407311876> 1659407311876 fmod: FMOD_ChannelGroup_AddDSP() result: No errors.
LOG  : General     , 1659407311876> 1659407311876 fmod: FMOD_System_Set3DSettings() result: No errors.
LOG  : General     , 1659407312747> GraphicsCard: NVIDIA Corporation NVIDIA GeForce GTX 1660 Ti with Max-Q Design/PCIe/SSE2
LOG  : General     , 1659407312748> OpenGL version: 4.6.0 NVIDIA 516.59
LOG  : General     , 1659407312750> Desktop resolution 1920x1080
LOG  : General     , 1659407312754> Initial resolution 1920x1080 fullScreen=false
LOG  : General     , 1659407312773> OpenGL 1.5 buffer objects supported
LOG  : General     , 1659407312791> VSync: OFF
LOG  : General     , 1659407313171> NVIDIA: current available GPU memory is 5937 MB
LOG  : General     , 1659407313172> NVIDIA: dedicated available GPU memory is 6144 MB
LOG  : General     , 1659407313173> NVIDIA: total available GPU memory is 6144 MB
LOG  : General     , 1659407323448> AngelCodeFont failed to load page 0 texture C:/Program Files (x86)/Steam/steamapps/common/ProjectZomboid/media/mainfont_0.png
LOG  : General     , 1659407323456> AngelCodeFont failed to load page 0 texture C:/Program Files (x86)/Steam/steamapps/common/ProjectZomboid/media/mainfont2_0.png
WARN : General     , 1659407323481> TextManager.Init> font "MediumNew" not found in fonts.txt
WARN : General     , 1659407323481> TextManager.Init> font "AutoNormSmall" not found in fonts.txt
WARN : General     , 1659407323481> TextManager.Init> font "AutoNormMedium" not found in fonts.txt
WARN : General     , 1659407323482> TextManager.Init> font "AutoNormLarge" not found in fonts.txt
LOG  : General     , 1659407323488> AngelCodeFont failed to load page 0 texture C:/Program Files (x86)/Steam/steamapps/common/ProjectZomboid/media/fonts/zomboidDialogue.bmfc_0.png
WARN : General     , 1659407323526> TextManager.Init> font "DebugConsole" not found in fonts.txt
LOG  : General     , 1659407323828> Loading networking libraries...
LOG  : General     , 1659407323829> Loading steam_api64...
LOG  : General     , 1659407323831> Loading RakNet64...
LOG  : General     , 1659407323854> Loading ZNetJNI64...
LOG  : General     , 1659407324004> 1659407324004 znet: ZNet loaded
LOG  : General     , 1659407324011> 1659407324011 znet: Compiled with SERVER_STEAMAPI == 0
LOG  : General     , 1659407324012> 1659407324012 znet: Starting with bServer == false
LOG  : General     , 1659407324012> 1659407324012 znet: SteamAPI initialised successfully
LOG  : General     , 1659407324013> SteamUtils initialised successfully
LOG  : General     , 1659407324038> 1659407324038 znet: Java_zombie_core_znet_SteamWorkshop_n_1Init
LOG  : General     , 1659407325352> AngelCodeFont failed to load page 0 texture C:/Program Files (x86)/Steam/steamapps/common/ProjectZomboid/media/mainfont_0.png
LOG  : General     , 1659407325354> AngelCodeFont failed to load page 0 texture C:/Program Files (x86)/Steam/steamapps/common/ProjectZomboid/media/mainfont2_0.png
WARN : General     , 1659407325358> TextManager.Init> font "MediumNew" not found in fonts.txt
WARN : General     , 1659407325359> TextManager.Init> font "AutoNormSmall" not found in fonts.txt
WARN : General     , 1659407325359> TextManager.Init> font "AutoNormMedium" not found in fonts.txt
