DEBUG: General     , 1659312229815> 720,692> LoggerManager.init                  > Initializing...
LOG  : General     , 1659312229857> 720,726> cachedir set to "C:\Users\aaron\Zomboid"
LOG  : General     , 1659312229951> 720,820> versionNumber=41.73 demo=false
LOG  : General     , 1659312229952> 720,820> svnRevision= date= time=
LOG  : General     , 1659312229954> 720,823> server name is "servertest1"
LOG  : General     , 1659312229955> 720,824> checking server WorldVersion in map_t.bin
LOG  : General     , 1659312229958> 720,827> Loading networking libraries...
LOG  : General     , 1659312229959> 720,828> Loading steam_api64...
LOG  : General     , 1659312229969> 720,838> Loading RakNet64...
LOG  : General     , 1659312229973> 720,842> Loading ZNetJNI64...
LOG  : General     , 1659312230110> 720,979> 1659312230107 znet: ZNet loaded
LOG  : General     , 1659312230112> 720,981> 1659312230112 znet: Compiled with SERVER_STEAMAPI == 0
LOG  : General     , 1659312230112> 720,981> 1659312230112 znet: Starting with bServer == true
LOG  : General     , 1659312230113> 720,981> 1659312230113 znet: SteamAPI initialised successfully
LOG  : General     , 1659312230113> 720,982> SteamUtils initialised successfully
LOG  : General     , 1659312238450> 729,319> translator: language is EN
LOG  : General     , 1659312238608> 729,477> LightingFPS set to 15
LOG  : General     , 1659312238629> 729,498> reading C:\Users\aaron\Zomboid\Server\servertest1.ini
LOG  : General     , 1659312238632> 729,500> writing C:\Users\aaron\Zomboid\Server\servertest1.ini
LOG  : General     , 1659312238645> 729,514> 1659312238645 znet: Java_zombie_core_znet_SteamGameServer_Init
LOG  : General     , 1659312238830> 729,699> 1659312238830 znet: SteamGameServer seems to be initialized
LOG  : General     , 1659312238830> 729,699> 1659312238830 znet: Java_zombie_core_znet_SteamGameServer_SetProduct
LOG  : General     , 1659312238831> 729,699> 1659312238831 znet: Java_zombie_core_znet_SteamGameServer_SetGameDescription
LOG  : General     , 1659312238831> 729,700> 1659312238831 znet: Java_zombie_core_znet_SteamGameServer_SetModDir
LOG  : General     , 1659312238832> 729,700> 1659312238832 znet: Java_zombie_core_znet_SteamGameServer_SetDedicatedServer
LOG  : General     , 1659312238832> 729,701> 1659312238832 znet: Java_zombie_core_znet_SteamGameServer_SetMaxPlayerCount
LOG  : General     , 1659312238833> 729,701> 1659312238833 znet: Java_zombie_core_znet_SteamGameServer_SetServerName 'Naybad the Fister'
LOG  : General     , 1659312238833> 729,702> 1659312238833 znet: Java_zombie_core_znet_SteamGameServer_SetMapName 'Muldraugh, KY'
LOG  : General     , 1659312238834> 729,702> 1659312238834 znet: Java_zombie_core_znet_SteamGameServer_SetGameTags 'hidden;hosted'
LOG  : General     , 1659312238834> 729,703> 1659312238834 znet: Java_zombie_core_znet_SteamGameServer_SetKeyValue key='description' value=''
LOG  : General     , 1659312238835> 729,703> 1659312238835 znet: Java_zombie_core_znet_SteamGameServer_SetKeyValue key='version' value='41.73'
LOG  : General     , 1659312238835> 729,704> 1659312238835 znet: Java_zombie_core_znet_SteamGameServer_SetKeyValue key='open' value='1'
LOG  : General     , 1659312238836> 729,704> 1659312238836 znet: Java_zombie_core_znet_SteamGameServer_SetKeyValue key='public' value='0'
LOG  : General     , 1659312238836> 729,705> 1659312238836 znet: Java_zombie_core_znet_SteamGameServer_SetKeyValue key='mods' value='CDDAReading;BetterSortCC;fuelsideindicator;modoptions;Betterhandwash;EasyConfigChucked;ExpandedHelicopterEvents;ItemTweakerAPI'
LOG  : General     , 1659312238837> 729,705> 1659312238837 znet: Java_zombie_core_znet_SteamGameServer_SetKeyValue key='modCount' value='30'
LOG  : General     , 1659312238837> 729,706> 1659312238837 znet: Java_zombie_core_znet_SteamGameServer_SetKeyValue key='pvp' value='1'
LOG  : General     , 1659312238839> 729,708> 1659312238839 znet: Java_zombie_core_znet_SteamWorkshop_n_1Init
LOG  : General     , 1659312238840> 729,708> 1659312238840 znet: Java_zombie_core_znet_SteamGameServer_LogOnAnonymous
LOG  : General     , 1659312238840> 729,709> 1659312238840 znet: Java_zombie_core_znet_SteamGameServer_EnableHeartBeats
LOG  : General     , 1659312238841> 729,710> Waiting for response from Steam servers
LOG  : General     , 1659312240150> 731,019> 1659312240150 znet: OnSteamServersConnected
LOG  : General     , 1659312240150> 731,019> 1659312240150 znet: Public IP: 108.168.100.208
LOG  : General     , 1659312240155> 731,024> 1659312240155 znet: Java_zombie_core_znet_SteamWorkshop_n_1CreateQueryUGCDetailsRequest
LOG  : General     , 1659312240363> 731,232> 1659312240363 znet: OnPolicyResponse
LOG  : General     , 1659312240363> 731,232> 1659312240363 znet: Zomboid Server is VAC Secure
LOG  : General     , 1659312240469> 731,338> 1659312240469 znet: ZNetWorkshop::OnSteamUGCQueryCompleted
LOG  : General     , 1659312240471> 731,340> Workshop: onItemQueryCompleted handle=1 numResult=18
LOG  : General     , 1659312240471> 731,340> 1659312240471 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetQueryUGCResult
LOG  : General     , 1659312240474> 731,343> 1659312240474 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetQueryUGCResult
LOG  : General     , 1659312240475> 731,344> 1659312240475 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetQueryUGCResult
LOG  : General     , 1659312240475> 731,344> 1659312240475 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetQueryUGCResult
LOG  : General     , 1659312240475> 731,344> 1659312240475 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetQueryUGCResult
LOG  : General     , 1659312240475> 731,344> 1659312240475 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetQueryUGCResult
LOG  : General     , 1659312240476> 731,345> 1659312240476 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetQueryUGCResult
LOG  : General     , 1659312240476> 731,345> 1659312240476 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetQueryUGCResult
LOG  : General     , 1659312240476> 731,345> 1659312240476 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetQueryUGCResult
LOG  : General     , 1659312240476> 731,345> 1659312240476 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetQueryUGCResult
LOG  : General     , 1659312240477> 731,346> 1659312240477 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetQueryUGCResult
LOG  : General     , 1659312240477> 731,346> 1659312240477 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetQueryUGCResult
LOG  : General     , 1659312240477> 731,346> 1659312240477 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetQueryUGCResult
LOG  : General     , 1659312240477> 731,346> 1659312240477 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetQueryUGCResult
LOG  : General     , 1659312240478> 731,346> 1659312240477 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetQueryUGCResult
LOG  : General     , 1659312240478> 731,347> 1659312240478 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetQueryUGCResult
LOG  : General     , 1659312240478> 731,347> 1659312240478 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetQueryUGCResult
LOG  : General     , 1659312240478> 731,347> 1659312240478 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetQueryUGCResult
LOG  : General     , 1659312240479> 731,348> 1659312240479 znet: Java_zombie_core_znet_SteamWorkshop_n_1ReleaseQueryUGCRequest
LOG  : General     , 1659312240493> 731,362> Workshop: GetItemState()=Installed ID=2565273421
LOG  : General     , 1659312240493> 731,362> 1659312240493 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetItemInstallTimeStamp
LOG  : General     , 1659312240495> 731,364> Workshop: item state CheckItemState -> Ready ID=2565273421
LOG  : General     , 1659312240496> 731,365> Workshop: GetItemState()=Installed ID=2313387159
LOG  : General     , 1659312240496> 731,365> 1659312240496 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetItemInstallTimeStamp
LOG  : General     , 1659312240496> 731,365> Workshop: item state CheckItemState -> Ready ID=2313387159
LOG  : General     , 1659312240496> 731,365> Workshop: GetItemState()=Installed ID=2616986064
LOG  : General     , 1659312240497> 731,365> 1659312240497 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetItemInstallTimeStamp
LOG  : General     , 1659312240497> 731,366> Workshop: item state CheckItemState -> Ready ID=2616986064
LOG  : General     , 1659312240497> 731,366> Workshop: GetItemState()=Installed ID=2650547917
LOG  : General     , 1659312240498> 731,367> 1659312240498 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetItemInstallTimeStamp
LOG  : General     , 1659312240498> 731,367> Workshop: item state CheckItemState -> Ready ID=2650547917
LOG  : General     , 1659312240498> 731,367> Workshop: GetItemState()=Installed ID=2169435993
LOG  : General     , 1659312240499> 731,368> 1659312240499 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetItemInstallTimeStamp
LOG  : General     , 1659312240499> 731,368> Workshop: item state CheckItemState -> Ready ID=2169435993
LOG  : General     , 1659312240499> 731,368> Workshop: GetItemState()=Installed ID=2594865484
LOG  : General     , 1659312240499> 731,368> 1659312240499 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetItemInstallTimeStamp
LOG  : General     , 1659312240499> 731,368> Workshop: item state CheckItemState -> Ready ID=2594865484
LOG  : General     , 1659312240500> 731,369> Workshop: GetItemState()=Installed ID=2529746725
LOG  : General     , 1659312240500> 731,369> 1659312240500 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetItemInstallTimeStamp
LOG  : General     , 1659312240500> 731,369> Workshop: item state CheckItemState -> Ready ID=2529746725
LOG  : General     , 1659312240501> 731,370> Workshop: GetItemState()=Installed ID=2458631365
LOG  : General     , 1659312240501> 731,370> 1659312240501 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetItemInstallTimeStamp
LOG  : General     , 1659312240501> 731,370> Workshop: item state CheckItemState -> Ready ID=2458631365
LOG  : General     , 1659312240501> 731,370> Workshop: GetItemState()=Installed ID=566115016
LOG  : General     , 1659312240502> 731,371> 1659312240502 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetItemInstallTimeStamp
LOG  : General     , 1659312240502> 731,371> Workshop: item state CheckItemState -> Ready ID=566115016
LOG  : General     , 1659312240502> 731,371> Workshop: GetItemState()=Installed ID=2705655822
LOG  : General     , 1659312240502> 731,371> 1659312240502 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetItemInstallTimeStamp
LOG  : General     , 1659312240502> 731,371> Workshop: item state CheckItemState -> Ready ID=2705655822
LOG  : General     , 1659312240503> 731,372> Workshop: GetItemState()=Installed ID=2819358487
LOG  : General     , 1659312240503> 731,372> 1659312240503 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetItemInstallTimeStamp
LOG  : General     , 1659312240503> 731,372> Workshop: item state CheckItemState -> Ready ID=2819358487
LOG  : General     , 1659312240503> 731,372> Workshop: GetItemState()=Installed ID=2705406713
LOG  : General     , 1659312240503> 731,372> 1659312240503 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetItemInstallTimeStamp
LOG  : General     , 1659312240504> 731,373> Workshop: item state CheckItemState -> Ready ID=2705406713
LOG  : General     , 1659312240504> 731,373> Workshop: GetItemState()=Installed ID=2810448965
LOG  : General     , 1659312240504> 731,373> 1659312240504 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetItemInstallTimeStamp
LOG  : General     , 1659312240504> 731,373> Workshop: item state CheckItemState -> Ready ID=2810448965
LOG  : General     , 1659312240504> 731,373> Workshop: GetItemState()=Installed ID=2142622992
LOG  : General     , 1659312240505> 731,373> 1659312240505 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetItemInstallTimeStamp
LOG  : General     , 1659312240505> 731,374> Workshop: item state CheckItemState -> Ready ID=2142622992
LOG  : General     , 1659312240505> 731,374> Workshop: GetItemState()=Installed ID=2658619264
LOG  : General     , 1659312240505> 731,374> 1659312240505 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetItemInstallTimeStamp
LOG  : General     , 1659312240505> 731,374> Workshop: item state CheckItemState -> Ready ID=2658619264
LOG  : General     , 1659312240506> 731,375> Workshop: GetItemState()=Installed ID=2680473910
LOG  : General     , 1659312240506> 731,375> 1659312240506 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetItemInstallTimeStamp
LOG  : General     , 1659312240506> 731,375> Workshop: item state CheckItemState -> Ready ID=2680473910
LOG  : General     , 1659312240506> 731,375> Workshop: GetItemState()=Installed ID=2648779556
LOG  : General     , 1659312240506> 731,375> 1659312240506 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetItemInstallTimeStamp
LOG  : General     , 1659312240506> 731,375> Workshop: item state CheckItemState -> Ready ID=2648779556
LOG  : General     , 1659312240507> 731,376> Workshop: GetItemState()=Installed ID=2827214511
LOG  : General     , 1659312240507> 731,376> 1659312240507 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetItemInstallTimeStamp
LOG  : General     , 1659312240507> 731,376> Workshop: item state CheckItemState -> Ready ID=2827214511
LOG  : General     , 1659312240507> 731,376> 1659312240507 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetItemInstallFolder
LOG  : General     , 1659312240508> 731,377> Workshop: 2565273421 installed to C:\Program Files (x86)\Steam\steamapps\common\ProjectZomboid\steamapps\workshop\content\108600\2565273421
LOG  : General     , 1659312240508> 731,377> 1659312240508 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetItemInstallTimeStamp
LOG  : General     , 1659312240508> 731,377> 1659312240508 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetItemInstallFolder
LOG  : General     , 1659312240509> 731,377> Workshop: 2313387159 installed to C:\Program Files (x86)\Steam\steamapps\common\ProjectZomboid\steamapps\workshop\content\108600\2313387159
LOG  : General     , 1659312240509> 731,378> 1659312240509 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetItemInstallTimeStamp
LOG  : General     , 1659312240509> 731,378> 1659312240509 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetItemInstallFolder
LOG  : General     , 1659312240510> 731,379> Workshop: 2616986064 installed to C:\Program Files (x86)\Steam\steamapps\common\ProjectZomboid\steamapps\workshop\content\108600\2616986064
LOG  : General     , 1659312240510> 731,379> 1659312240510 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetItemInstallTimeStamp
LOG  : General     , 1659312240510> 731,379> 1659312240510 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetItemInstallFolder
LOG  : General     , 1659312240511> 731,380> Workshop: 2650547917 installed to C:\Program Files (x86)\Steam\steamapps\common\ProjectZomboid\steamapps\workshop\content\108600\2650547917
LOG  : General     , 1659312240511> 731,380> 1659312240511 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetItemInstallTimeStamp
LOG  : General     , 1659312240511> 731,380> 1659312240511 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetItemInstallFolder
LOG  : General     , 1659312240512> 731,381> Workshop: 2169435993 installed to C:\Program Files (x86)\Steam\steamapps\common\ProjectZomboid\steamapps\workshop\content\108600\2169435993
LOG  : General     , 1659312240512> 731,381> 1659312240512 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetItemInstallTimeStamp
LOG  : General     , 1659312240512> 731,381> 1659312240512 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetItemInstallFolder
LOG  : General     , 1659312240512> 731,381> Workshop: 2594865484 installed to C:\Program Files (x86)\Steam\steamapps\common\ProjectZomboid\steamapps\workshop\content\108600\2594865484
LOG  : General     , 1659312240512> 731,381> 1659312240512 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetItemInstallTimeStamp
LOG  : General     , 1659312240513> 731,382> 1659312240513 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetItemInstallFolder
LOG  : General     , 1659312240513> 731,382> Workshop: 2529746725 installed to C:\Program Files (x86)\Steam\steamapps\common\ProjectZomboid\steamapps\workshop\content\108600\2529746725
LOG  : General     , 1659312240513> 731,382> 1659312240513 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetItemInstallTimeStamp
LOG  : General     , 1659312240514> 731,383> 1659312240514 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetItemInstallFolder
LOG  : General     , 1659312240514> 731,383> Workshop: 2458631365 installed to C:\Program Files (x86)\Steam\steamapps\common\ProjectZomboid\steamapps\workshop\content\108600\2458631365
LOG  : General     , 1659312240514> 731,383> 1659312240514 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetItemInstallTimeStamp
LOG  : General     , 1659312240514> 731,383> 1659312240514 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetItemInstallFolder
LOG  : General     , 1659312240515> 731,384> Workshop: 566115016 installed to C:\Program Files (x86)\Steam\steamapps\common\ProjectZomboid\steamapps\workshop\content\108600\566115016
LOG  : General     , 1659312240515> 731,384> 1659312240515 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetItemInstallTimeStamp
LOG  : General     , 1659312240515> 731,384> 1659312240515 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetItemInstallFolder
LOG  : General     , 1659312240516> 731,384> Workshop: 2705655822 installed to C:\Program Files (x86)\Steam\steamapps\common\ProjectZomboid\steamapps\workshop\content\108600\2705655822
LOG  : General     , 1659312240516> 731,385> 1659312240516 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetItemInstallTimeStamp
